Found 58 assignments.
ID: 3741890, Title: [1번 실험 : 알코올의 증류] - 결과레포트 제출함, Due Date: 'None', URL: https://ys.learnus.org/mod/assign/view.php?id=3741890
ID: 3742125, Title: Chap.1 연습문제 및 과제 제출, Due Date: 'None', URL: https://ys.learnus.org/mod/assign/view.php?id=3742125
ID: 3757359, Title: Chap.2 연습문제 제출, Due Date: 'None', URL: https://ys.learnus.org/mod/assign/view.php?id=3757359
ID: 3764332, Title: [2번 실험 : 재결정과 거르기] - 결과레포트 제출함, Due Date: 'None', URL: https://ys.learnus.org/mod/assign/view.php?id=3764332
ID: 3764335, Title: [3번 실험 : 아보가드로수의 결정] - 결과레포트 제출함, Due Date: 'None', URL: https://ys.learnus.org/mod/assign/view.php?id=3764335
ID: 3764340, Title: [4번 실험 : 산화-환원 적정] - 결과레포트 제출함, Due Date: 'None', URL: https://ys.learnus.org/mod/assign/view.php?id=3764340
ID: 3764343, Title: [5번 실험 : 화학반응의 엔탈피 측정] - 결과레포트 제출함, Due Date: 'None', URL: https://ys.learnus.org/mod/assign/view.php?id=3764343
ID: 3764346, Title: [6번 실험 : 원소의 스펙트럼] - 결과레포트 제출함, Due Date: 'None', URL: https://ys.learnus.org/mod/assign/view.php?id=3764346
ID: 3764348, Title: [7번 실험 :  생활속의 산 염기 분석] - 결과레포트 제출함, Due Date: 'None', URL: https://ys.learnus.org/mod/assign/view.php?id=3764348
ID: 3764356, Title: [8번 실험 : 기체의 특성] - 결과레포트 제출함, Due Date: 'None', URL: https://ys.learnus.org/mod/assign/view.php?id=3764356
ID: 3764357, Title: [9번 실험 : 분자오비탈과 VSEPR 이론] - 결과레포트 제출함, Due Date: 'None', URL: https://ys.learnus.org/mod/assign/view.php?id=3764357
ID: 3765869, Title: Chap.3 연습문제 제출, Due Date: 'None', URL: https://ys.learnus.org/mod/assign/view.php?id=3765869
ID: 3769156, Title: Assignment 1, Due Date: 'None', URL: https://ys.learnus.org/mod/assign/view.php?id=3769156
ID: 3775446, Title: 실험 오리엔테이션 - 안전교육 퀴즈, Due Date: 'None', URL: https://ys.learnus.org/mod/assign/view.php?id=3775446
ID: 3777075, Title: Chap.4 연습문제 제출, Due Date: 'None', URL: https://ys.learnus.org/mod/assign/view.php?id=3777075
ID: 3798265, Title: Chap.5 연습문제 제출, Due Date: 'None', URL: https://ys.learnus.org/mod/assign/view.php?id=3798265
ID: 3798266, Title: Chap.6 연습문제 제출, Due Date: 'None', URL: https://ys.learnus.org/mod/assign/view.php?id=3798266
ID: 3823318, Title: Chap. 7 연습문제 제출, Due Date: 'None', URL: https://ys.learnus.org/mod/assign/view.php?id=3823318
ID: 3823532, Title: Assignment 2, Due Date: 'None', URL: https://ys.learnus.org/mod/assign/view.php?id=3823532
ID: 3828151, Title: Chap.8 연습문제 제출, Due Date: 'None', URL: https://ys.learnus.org/mod/assign/view.php?id=3828151
ID: 3828153, Title: Chap.9 연습문제 제출, Due Date: 'None', URL: https://ys.learnus.org/mod/assign/view.php?id=3828153
ID: 3841996, Title: Assignment3, Due Date: 'None', URL: https://ys.learnus.org/mod/assign/view.php?id=3841996
ID: 3851244, Title: Chap.10 연습문제 제출, Due Date: 'None', URL: https://ys.learnus.org/mod/assign/view.php?id=3851244
ID: 3950971, Title: Lab 0, Due Date: 'None', URL: https://ys.learnus.org/mod/assign/view.php?id=3950971
ID: 3963795, Title: Lab 01, Due Date: 'None', URL: https://ys.learnus.org/mod/assign/view.php?id=3963795
ID: 3975512, Title: Lab 02, Due Date: 'None', URL: https://ys.learnus.org/mod/assign/view.php?id=3975512
ID: 3986326, Title: Lab 03, Due Date: 'None', URL: https://ys.learnus.org/mod/assign/view.php?id=3986326
ID: 3997012, Title: Lab 04, Due Date: 'None', URL: https://ys.learnus.org/mod/assign/view.php?id=3997012
ID: 3997643, Title: Individual Reflections (Visiting Location), Due Date: 'None', URL: https://ys.learnus.org/mod/assign/view.php?id=3997643
ID: 4026665, Title: 중간고사, Due Date: 'None', URL: https://ys.learnus.org/mod/assign/view.php?id=4026665
ID: 4030208, Title: Lab 05, Due Date: 'None', URL: https://ys.learnus.org/mod/assign/view.php?id=4030208
ID: 4040200, Title: Lab 06, Due Date: 'None', URL: https://ys.learnus.org/mod/assign/view.php?id=4040200
ID: 4049778, Title: LAB 07, Due Date: 'None', URL: https://ys.learnus.org/mod/assign/view.php?id=4049778
ID: 4050093, Title: Project, Due Date: 'None', URL: https://ys.learnus.org/mod/assign/view.php?id=4050093
ID: 4059189, Title: Lab 08, Due Date: 'None', URL: https://ys.learnus.org/mod/assign/view.php?id=4059189
ID: 4059257, Title: 기말고사 (6/23), Due Date: 'None', URL: https://ys.learnus.org/mod/assign/view.php?id=4059257
ID: 4066773, Title: Lab 09, Due Date: 'None', URL: https://ys.learnus.org/mod/assign/view.php?id=4066773
ID: 4077468, Title: 출석 점수, Due Date: 'None', URL: https://ys.learnus.org/mod/assign/view.php?id=4077468
ID: 4151557, Title: 2주차 과제, Due Date: 'None', URL: https://ys.learnus.org/mod/assign/view.php?id=4151557
ID: 4159127, Title: Homework 1: Academic CV, Due Date: 'Sep 28 (Sunday) 11:59 pm', URL: https://ys.learnus.org/mod/assign/view.php?id=4159127
ID: 4159131, Title: Homework 2: Academic website, Due Date: 'Oct 12 (Sunday) &nbsp;11:59 pm', URL: https://ys.learnus.org/mod/assign/view.php?id=4159131
ID: 4159134, Title: Homework 3: Paper blog post, Due Date: 'Oct 26 (Sunday) &nbsp;11:59 pm', URL: https://ys.learnus.org/mod/assign/view.php?id=4159134
ID: 4164021, Title: 3주차 과제, Due Date: 'None', URL: https://ys.learnus.org/mod/assign/view.php?id=4164021
ID: 4174938, Title: 4주차 과제, Due Date: 'None', URL: https://ys.learnus.org/mod/assign/view.php?id=4174938
ID: 4185701, Title: 5주차 과제, Due Date: 'None', URL: https://ys.learnus.org/mod/assign/view.php?id=4185701
ID: 4193075, Title: 6주차 과제, Due Date: 'None', URL: https://ys.learnus.org/mod/assign/view.php?id=4193075
ID: 4201209, Title: Homework 4: Paper review, Due Date: 'Nov 9 (11:59pm).', URL: https://ys.learnus.org/mod/assign/view.php?id=4201209
ID: 4201525, Title: 7주차 과제, Due Date: 'None', URL: https://ys.learnus.org/mod/assign/view.php?id=4201525
ID: 4207889, Title: 8주차  과제, Due Date: 'None', URL: https://ys.learnus.org/mod/assign/view.php?id=4207889
ID: 4211081, Title: Paper presentation video, Due Date: 'Nov 30 (11:59pm).', URL: https://ys.learnus.org/mod/assign/view.php?id=4211081
ID: 4215526, Title: 9주차 과제, Due Date: 'None', URL: https://ys.learnus.org/mod/assign/view.php?id=4215526
